Query Node,K,Top Nodes,Distances,Runtime,Max Distance,Avg Distance
1,3,"['126', '48', '73']","[1.06, 1.08, 1.1]",0.11651968955993652,5.235263170679457,4.277020186300289
1,5,"['126', '48', '73', '130', '53']","[1.06, 1.08, 1.1, 1.29, 1.34]",0.12140107154846191,5.235263170679457,4.277020186300289
2,3,"['333', '226', '149']","[0.49, 0.52, 0.58]",0.12030744552612305,5.199609806489165,4.2953218809324545
2,5,"['333', '226', '149', '20', '326']","[0.49, 0.52, 0.58, 0.6, 0.61]",0.11748981475830078,5.199609806489165,4.2953218809324545
3,3,"['75', '274', '85']","[1.03, 1.1, 1.13]",0.11813044548034668,5.213751983446585,4.185549652338764
3,5,"['75', '274', '85', '79', '69']","[1.03, 1.1, 1.13, 1.13, 1.19]",0.1188356876373291,5.213751983446585,4.185549652338764
4,3,"['218', '328', '78']","[0.43, 0.45, 0.53]",0.11730694770812988,5.495051721490053,4.556803303266889
4,5,"['218', '328', '78', '181', '306']","[0.43, 0.45, 0.53, 0.55, 0.56]",0.12015151977539062,5.495051721490053,4.556803303266889
5,3,"['235', '316', '204']","[1.34, 1.58, 1.74]",0.11799120903015137,5.426826346816932,4.3947625438332185
5,5,"['235', '316', '204', '180', '196']","[1.34, 1.58, 1.74, 1.77, 1.79]",0.11796069145202637,5.426826346816932,4.3947625438332185
